|Count |Word        |Length |
|    21|held        |      4|
|    21|leave       |      5|
|    21|life        |      4|
|    21|moment      |      6|
|    21|myself      |      6|
|    21|next        |      4|
|    21|part        |      4|
|    21|poor        |      4|
|    21|return      |      6|
|    21|sound       |      5|
|    21|too         |      3|
|    21|understand  |     10|
|    20|cried       |      5|
|    20|cry         |      3|
|    20|Gutenberg   |      9|
|    20|Hall        |      4|
|    20|many        |      4|
|    20|sat         |      3|
|    20|seems       |      5|
|    20|showed      |      6|
|    20|use         |      3|
|    20|white       |      5|
|    20|wish        |      4|
|    19|along       |      5|
|    19|among       |      5|
|    19|ask         |      3|
|    19|better      |      6|
|    19|brother     |      7|
|    19|coming      |      6|
|    19|days        |      4|
|    19|either      |      6|
|    19|going       |      5|
|    19|interest    |      8|
|    19|means       |      5|
|    19|ran         |      3|
|    19|ready       |      5|
|    19|reason      |      6|
|    19|terms       |      5|
|    19|whether     |      7|
|    19|woman       |      5|
|    18|anyone      |      6|
|    18|Coombe      |      6|
|    18|kept        |      4|
|    18|letter      |      6|
|    18|London      |      6|
|    18|morning     |      7|
|    18|path        |      4|
|    18|people      |      6|
|    18|public      |      6|
|    18|sure        |      4|
|    18|They        |      4|
|    18|To          |      2|
|    18|young       |      5|
|    17|another     |      7|
|    17|fellow      |      6|
|    17|gray        |      4|
|    17|Grimpen     |      7|
|    17|hour        |      4|
|    17|huge        |      4|
|    17|learned     |      7|
|    17|look        |      4|
|    17|near        |      4|
|    17|paper       |      5|
|    17|reached     |      7|
|    17|read        |      4|
|    17|walk        |      4|
|    17|walked      |      6|
|    16|answer      |      6|
|    16|because     |      7|
|    16|call        |      4|
|    16|course      |      6|
|    16|enough      |      6|
|    16|evening     |      7|
|    16|glad        |      4|
|    16|indeed      |      6|
|    16|known       |      5|
|    16|met         |      3|
|    16|On          |      2|
|    16|One         |      3|
|    16|possible    |      8|
|    16|story       |      5|
|    16|With        |      4|
|    16|word        |      4|
|    15|cab         |      3|
|    15|certain     |      7|
|    15|creature    |      8|
|    15|deep        |      4|
|    15|died        |      4|
|    15|during      |      6|
|    15|entirely    |      8|
|    15|given       |      5|
|    15|gone        |      4|
|    15|let         |      3|
|    15|mean        |      4|
|    15|Merripit    |      8|
|    15|outside     |      7|
|    15|possibly    |      8|
|    15|room        |      4|
|    15|rose        |      4|
|    15|run         |      3|
|    15|second      |      6|
|    15|show        |      4|
|    15|struck      |      6|
|    15|things      |      6|
|    15|Watson      |      6|
|    14|Baker       |      5|
|    14|believe     |      7|
|    14|country     |      7|
|    14|direction   |      9|
|    14|facts       |      5|
|    14|feel        |      4|
|    14|figure      |      6|
|    14|For         |      3|
|    14|Foundation  |     10|
|    14|From        |      4|
|    14|gentleman   |      9|
|    14|hard        |      4|
|    14|hardly      |      6|
|    14|having      |      6|
|    14|Her         |      3|
|    14|How         |      3|
|    14|keep        |      4|
|    14|least       |      5|
|    14|low         |      3|
|    14|opened      |      6|
|    14|remember    |      8|
|    14|slowly      |      6|
|    14|standing    |      8|
|    14|turn        |      4|
|    14|used        |      4|
|    14|visit       |      5|
|    14|voice       |      5|
|    13|almost      |      6|
|    13|Archive     |      7|
|    13|boy         |      3|
|    13|By          |      2|
|    13|convict     |      7|
|    13|exactly     |      7|
|    13|five        |      4|
|    13|further     |      7|
|    13|Literary    |      8|
|    13|looking     |      7|
|    13|Our         |      3|
|    13|report      |      6|
|    13|save        |      4|
|    13|sent        |      4|
|    13|strong      |      6|
|    13|swear       |      5|
|    13|unless      |      6|
|    13|waiting     |      7|
|    13|years       |      5|
|    12|assure      |      6|
|    12|became      |      6|
|    12|broke       |      5|
|    12|broken      |      6|
|    12|candle      |      6|
|    12|close       |      5|
|    12|connection  |     10|
|    12|copyright   |      9|
|    12|cut         |      3|
|    12|dog         |      3|
|    12|donations   |      9|
|    12|evidently   |      9|
|    12|friends     |      7|
|    12|home        |      4|
|    12|hope        |      4|
|    12|Hugo        |      4|
|    12|late        |      4|
|    12|lonely      |      6|
|    12|meet        |      4|
|    12|moon        |      4|
|    12|object      |      6|
|    12|OF          |      2|
|    12|position    |      8|
|    12|power       |      5|
|    12|running     |      7|
|    12|seem        |      4|
|    12|soon        |      4|
|    12|Street      |      6|
|    12|together    |      8|
|    12|waited      |      6|
|    12|window      |      6|
|    11|boot        |      4|
|    11|considerable|     12|
|    11|curious     |      7|
|    11|dead        |      4|
|    11|doing       |      5|
|    11|each        |      4|
|    11|earth       |      5|
|    11|evil        |      4|
|    11|explanation |     11|
|    11|fell        |      4|
|    11|following   |      9|
|    11|gate        |      4|
|    11|green       |      5|
|    11|heavy       |      5|
|    11|high        |      4|
|    11|hold        |      4|
|    11|Hound       |      5|
|    11|husband     |      7|
|    11|idea        |      4|
|    11|large       |      5|
|    11|Laura       |      5|
|    11|led         |      3|
|    11|less        |      4|
|    11|love        |      4|
|    11|Miss        |      4|
|    11|ourselves   |      9|
|    11|pair        |      4|
|    11|perhaps     |      7|
|    11|received    |      8|
|    11|returned    |      8|
|    11|road        |      4|
|    11|send        |      4|
|    11|shadow      |      6|
|    11|singular    |      8|
|    11|stared      |      6|
|    11|stick       |      5|
|    11|stone       |      5|
|    11|suddenly    |      8|
|    11|surprise    |      8|
|    11|surprised   |      9|
|    11|swiftly     |      7|
|    11|ten         |      3|
|    11|terrible    |      8|
|    11|trouble     |      7|
|    11|world       |      5|
|    10|access      |      6|
|    10|around      |      6|
|    10|Baskervilles|     12|
|    10|body        |      4|
|    10|bring       |      5|
|    10|broad       |      5|
|    10|carry       |      5|
|    10|cases       |      5|
|    10|charge      |      6|
|    10|cold        |      4|
|    10|difficult   |      9|
|    10|distance    |      8|
|    10|distant     |      7|
|    10|Do          |      2|
|    10|drew        |      4|
|    10|driving     |      7|
|    10|else        |      4|
|    10|escaped     |      7|
|    10|felt        |      4|
|    10|follow      |      6|
|    10|hours       |      5|
|    10|hut         |      3|
|    10|interesting |     11|
|    10|laws        |      4|
|    10|lived       |      5|
|    10|lost        |      4|
|    10|Lyons       |      5|
|    10|miles       |      5|
|    10|paragraph   |      9|
|    10|short       |      5|
|    10|silent      |      6|
|    10|someone     |      7|
|    10|sprang      |      6|
|    10|straight    |      8|
|    10|talk        |      4|
|    10|THE         |      3|
|    10|thin        |      4|
|    10|United      |      6|
|    10|Why         |      3|
|    10|yellow      |      6|
|    10|Yew         |      3|
|    10|yourself    |      8|
|     9|air         |      3|
|     9|All         |      3|
|     9|alone       |      5|
|     9|amid        |      4|
|     9|appearance  |     10|
|     9|appeared    |      8|
|     9|brown       |      5|
|     9|business    |      8|
|     9|centre      |      6|
|     9|copy        |      4|
|     9|danger      |      6|
